n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
128,8,3,0.85,0.024816890869140625,0.01342531982421875,0.35106024418588355
128,8,3,0.9,0.01505409423828125,0.01093714294433594,0.42080116723534217
128,8,3,0.95,0.00578072006225586,0.00655392349243164,0.5313427553357204
128,8,4,0.85,0.02114742492675781,0.017094785766601565,0.4470135344338243
128,8,4,0.9,0.012778738708496093,0.013212498474121096,0.508344346261345
128,8,4,0.95,0.004479037399291992,0.007855606155395508,0.6368733819154558
128,16,1,0.85,0.03221238525390625,0.0,0.0
128,16,1,0.9,0.021562705688476562,0.0,0.0
128,16,1,0.95,0.009323282318115234,0.0,0.0
128,16,2,0.85,0.02235764404296875,0.009854741210937504,0.30593019216863065
128,16,2,0.9,0.010216995239257813,0.01134571044921875,0.526172856650456
128,16,2,0.95,0.002716995849609375,0.006606286468505859,0.7085794726680942
128,16,3,0.85,0.01542823699951172,0.016784148254394532,0.5210464273942331
128,16,3,0.9,0.006738885955810547,0.014823819732666015,0.6874749369040496
128,16,3,0.95,0.001721660041809082,0.007601622276306152,0.8153375621304657
128,16,4,0.85,0.012489151000976563,0.01972323425292969,0.6122872956307369
128,16,4,0.9,0.005294912719726563,0.01626779296875,0.754441172818296
128,16,4,0.95,0.0014913329696655273,0.007831949348449708,0.8400420668622411
128,32,1,0.85,0.022050477294921874,0.0,0.0
128,32,1,0.9,0.011904834594726563,0.0,0.0
128,32,1,0.95,0.00411755126953125,0.0,0.0
128,32,2,0.85,0.011261081237792969,0.010789396057128905,0.4893044224314208
128,32,2,0.9,0.003966483612060547,0.007938350982666015,0.6668174109854861
128,32,2,0.95,0.0008494250106811524,0.003268126258850098,0.7937062698000473
128,32,3,0.85,0.006321304626464843,0.015729172668457032,0.7133257234336324
128,32,3,0.9,0.0023146916580200193,0.009590142936706543,0.8055670879253249
128,32,3,0.95,0.00046052133560180663,0.0036570299339294438,0.8881565023829726
128,32,4,0.85,0.005019403381347656,0.017031073913574217,0.7723675857799412
128,32,4,0.9,0.002314592742919922,0.00959024185180664,0.8055753967429998
128,32,4,0.95,0.00023738044261932374,0.0038801708269119266,0.9423491227963878
128,64,1,0.85,0.003454446029663086,0.0,0.0
128,64,1,0.9,0.0015422687911987305,0.0,0.0
128,64,1,0.95,0.0003889738368988037,0.0,0.0
128,64,2,0.85,0.0013824967575073242,0.002071949272155762,0.5997920518555157
128,64,2,0.9,0.0004948038864135742,0.0010474649047851562,0.6791714328674269
128,64,2,0.95,5.443780064582825e-05,0.00033453603625297547,0.8600476549275192
128,64,3,0.85,0.00044895726203918456,0.0030054887676239017,0.8700349467949362
128,64,3,0.9,0.0001147762656211853,0.0014274925255775453,0.925579596581232
128,64,3,0.95,2.3005611300468443e-05,0.00036596822559833525,0.9408556331606086
128,64,4,0.85,0.0003409341144561768,0.003113511915206909,0.901305705305974
128,64,4,0.9,0.0001147762656211853,0.0014274925255775453,0.925579596581232
128,64,4,0.95,1.461237370967865e-05,0.00037436146318912505,0.9624335306811902
