n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
64,32,1,0.85,0.0,1.0,0.003375390311703086,0.003375390311703086,0.0,0.0,8000,8000.0,True,12,12,1
64,32,1,0.9,0.0,1.0,0.0014613984385505319,0.0014613984385505319,0.0,0.0,8000,8000.0,True,12,12,1
64,32,1,0.95,0.0,1.0,0.0006126646767370403,0.0006126646767370403,0.0,0.0,8000,8000.0,True,12,12,1
64,32,2,0.85,0.9827966690063477,0.8802140951156616,0.0013089340645819902,0.07608652859926224,0.8717222270511445,0.17854477391830045,144000,101142.85714285714,True,42,42,2
64,32,2,0.9,0.9957482218742371,0.9224135875701904,0.0004303760943002999,0.10122460126876831,0.863425497497831,0.20099182506368843,144000,101142.85714285714,True,42,42,2
64,32,2,0.95,0.9885108470916748,0.9607561826705933,6.786100857425481e-05,0.005907345563173294,0.8571230009907768,0.20300496794039588,144000,101142.85714285714,True,42,42,2
64,32,3,0.85,0.9778476357460022,0.8506364226341248,0.0004262911679688841,0.019244004040956497,0.634352635693821,0.3947826481879045,144000,111272.72727272728,True,55,55,2
64,32,3,0.9,0.9878074526786804,0.903863251209259,0.00013394883717410266,0.010986940935254097,0.5863475285120847,0.44562498730962335,144000,111272.72727272728,True,55,55,2
64,32,3,0.95,0.9846913814544678,0.9814763069152832,1.6827465515234508e-05,0.001099859131500125,0.6655388999609381,0.44433042515087123,144000,111272.72727272728,True,55,55,2
64,32,4,0.85,0.9845171570777893,0.8386767506599426,0.0003023398749064654,0.019527917727828026,0.6755882119936971,0.41872601706443097,144000,125052.63157894737,True,95,95,3
64,32,4,0.9,0.9930471777915955,0.8965073823928833,8.714442810742185e-05,0.012535175308585167,0.6385898718277637,0.42319703415698307,144000,125052.63157894737,True,95,95,3
64,32,4,0.95,0.9913143515586853,0.9752542972564697,1.1174103747180197e-05,0.0012876499677076936,0.47474785521590235,0.4333913447411884,144000,125052.63157894737,True,95,95,3
128,2,1,0.85,0.0,1.0,0.04368915781378746,0.04368915781378746,0.0,0.0,8000,8000.0,True,12,12,1
128,2,1,0.9,0.0,1.0,0.030305713415145874,0.030305713415145874,0.0,0.0,8000,8000.0,True,12,12,1
128,2,1,0.95,0.0,1.0,0.015711093321442604,0.015711093321442604,0.0,0.0,8000,8000.0,True,12,12,1
128,2,2,0.85,0.5237652659416199,0.5475937128067017,0.04000568017363548,0.08400412648916245,0.47128608799539506,0.32750628457299635,203646,124096.78125,True,32,32,2
128,2,2,0.9,0.27144351601600647,0.5241909027099609,0.026633836328983307,0.03655700013041496,0.19270173436962068,0.1483272512969495,203646,124096.78125,True,32,32,2
128,2,2,0.95,0.6941467523574829,0.7217093706130981,0.012900948524475098,0.04218021407723427,0.26995676054674034,0.19604164579311129,203646,128776.14705882352,True,34,34,2
